1 0 FT924-655 1  22.968359 STANDARD
13 0 FT922-15227 1  21.696531 STANDARD
13 0 FT942-21 1  21.513609 STANDARD
13 0 FT933-7120 1  21.501572 STANDARD
13 0 FT931-3359 1  21.4418 STANDARD
13 0 FT931-5796 1  21.400633 STANDARD
13 0 FT923-9281 1  21.315369 STANDARD
13 0 FT934-6157 1  21.222866 STANDARD
13 0 FT923-10181 1  21.074924 STANDARD
13 0 FT921-14683 1  21.001648 STANDARD
13 0 FT941-1231 1  20.980635 STANDARD
13 0 FT934-6494 1  20.963568 STANDARD
13 0 FT932-1644 1  20.883642 STANDARD
13 0 FT941-10773 1  20.851305 STANDARD
13 0 FT932-14697 1  20.849209 STANDARD
13 0 FT932-14121 1  20.829384 STANDARD
13 0 FT934-13373 1  20.791939 STANDARD
13 0 FT934-5277 1  20.776598 STANDARD
13 0 FT944-4868 1  20.744078 STANDARD
13 0 FT934-1166 1  20.738907 STANDARD
13 0 FT941-9446 1  20.707071 STANDARD
13 0 FT923-1121 1  20.654032 STANDARD
13 0 FT922-6753 1  20.629425 STANDARD
13 0 FT934-4380 1  20.599813 STANDARD
13 0 FT932-9989 1  20.561684 STANDARD
13 0 FT944-15028 1  20.535042 STANDARD
13 0 FT934-8406 1  20.529133 STANDARD
13 0 FT924-8345 1  20.491625 STANDARD
13 0 FT934-7707 1  20.489128 STANDARD
13 0 FT924-9683 1  20.480669 STANDARD
13 0 FT931-16798 1  20.455812 STANDARD
13 0 FT931-9788 1  20.446688 STANDARD
13 0 FT931-9854 1  20.446688 STANDARD
13 0 FT933-6154 1  20.445047 STANDARD
13 0 FT933-2580 1  20.434649 STANDARD
13 0 FT933-9979 1  20.426815 STANDARD
13 0 FT923-14622 1  20.393726 STANDARD
13 0 FT924-11398 1  20.391804 STANDARD
13 0 FT911-3642 1  20.384409 STANDARD
13 0 FT944-13687 1  20.350157 STANDARD
13 0 FT943-8154 1  20.31258 STANDARD
13 0 FT942-13144 1  20.291952 STANDARD
13 0 FT931-8241 1  20.170387 STANDARD
13 0 FT931-8286 1  20.170387 STANDARD
13 0 FT934-7663 1  20.1628 STANDARD
13 0 FT934-11033 1  20.09873 STANDARD
13 0 FT934-12359 1  20.016113 STANDARD
13 0 FT942-10345 1  20.010317 STANDARD
13 0 FT933-3310 1  19.907919 STANDARD
13 0 FT922-1945 1  19.876564 STANDARD
13 0 FT921-16434 1  19.872444 STANDARD
13 0 FT942-2067 1  19.848898 STANDARD
13 0 FT934-16557 1  19.797783 STANDARD
13 0 FT931-1225 1  19.789331 STANDARD
13 0 FT923-5012 1  19.784466 STANDARD
13 0 FT944-11654 1  19.783592 STANDARD
13 0 FT941-9405 1  19.780968 STANDARD
13 0 FT941-9066 1  19.738827 STANDARD
13 0 FT933-6355 1  19.710321 STANDARD
13 0 FT944-2007 1  19.693333 STANDARD
13 0 FT944-2222 1  19.693333 STANDARD
13 0 FT923-8333 1  19.655571 STANDARD
13 0 FT932-13891 1  19.650288 STANDARD
13 0 FT931-7268 1  19.64672 STANDARD
13 0 FT933-334 1  19.642317 STANDARD
13 0 FT922-15526 1  19.633774 STANDARD
13 0 FT941-1663 1  19.627361 STANDARD
13 0 FT924-7121 1  19.622099 STANDARD
13 0 FT932-6837 1  19.620256 STANDARD
13 0 FT932-5820 1  19.605375 STANDARD
13 0 FT943-14586 1  19.589376 STANDARD
13 0 FT934-11976 1  19.547314 STANDARD
13 0 FT923-12119 1  19.530815 STANDARD
13 0 FT944-9767 1  19.517899 STANDARD
13 0 FT923-7641 1  19.489231 STANDARD
13 0 FT924-7242 1  19.480162 STANDARD
13 0 FT923-3450 1  19.469915 STANDARD
13 0 FT922-11333 1  19.45118 STANDARD
13 0 FT933-12902 1  19.42669 STANDARD
13 0 FT932-13418 1  19.41777 STANDARD
13 0 FT941-3362 1  19.374619 STANDARD
13 0 FT924-2051 1  19.345499 STANDARD
13 0 FT934-9945 1  19.340227 STANDARD
13 0 FT924-2778 1  19.306866 STANDARD
13 0 FT921-9880 1  19.263521 STANDARD
13 0 FT942-13126 1  19.173605 STANDARD
13 0 FT941-1233 1  19.167654 STANDARD
13 0 FT941-4517 1  19.134287 STANDARD
13 0 FT923-7461 1  19.130693 STANDARD
13 0 FT922-531 1  19.129066 STANDARD
13 0 FT941-4685 1  19.128922 STANDARD
13 0 FT931-9142 1  19.128895 STANDARD
13 0 FT911-4393 1  19.110308 STANDARD
13 0 FT944-14909 1  19.072042 STANDARD
13 0 FT932-4350 1  19.022987 STANDARD
13 0 FT922-1933 1  19.00462 STANDARD
13 0 FT922-4420 1  18.99501 STANDARD
13 0 FT942-9121 1  18.989985 STANDARD
13 0 FT934-15100 1  18.982807 STANDARD
13 0 FT931-1783 1  18.980982 STANDARD
13 0 FT922-6496 1  18.958782 STANDARD
13 0 FT924-14969 1  18.951939 STANDARD
13 0 FT921-3117 1  18.946566 STANDARD
13 0 FT933-15027 1  18.93812 STANDARD
13 0 FT944-640 1  18.919647 STANDARD
13 0 FT922-11476 1  18.899464 STANDARD
13 0 FT944-13955 1  18.876753 STANDARD
13 0 FT924-14494 1  18.868374 STANDARD
13 0 FT944-9870 1  18.863005 STANDARD
13 0 FT932-4698 1  18.824696 STANDARD
13 0 FT911-132 1  18.820051 STANDARD
13 0 FT944-18122 1  18.810186 STANDARD
13 0 FT931-8837 1  18.803745 STANDARD
13 0 FT921-15539 1  18.798954 STANDARD
13 0 FT921-11986 1  18.795984 STANDARD
13 0 FT931-1632 1  18.792416 STANDARD
13 0 FT932-14136 1  18.790462 STANDARD
13 0 FT942-2043 1  18.785389 STANDARD
13 0 FT943-1228 1  18.760382 STANDARD
13 0 FT924-5968 1  18.721233 STANDARD
13 0 FT943-5294 1  18.719593 STANDARD
13 0 FT934-2952 1  18.669262 STANDARD
13 0 FT932-14106 1  18.668797 STANDARD
13 0 FT931-7267 1  18.663881 STANDARD
13 0 FT922-13310 1  18.64261 STANDARD
13 0 FT932-4390 1  18.63093 STANDARD
13 0 FT943-3842 1  18.623531 STANDARD
13 0 FT924-1650 1  18.623234 STANDARD
13 0 FT931-9148 1  18.61532 STANDARD
13 0 FT944-6731 1  18.609718 STANDARD
13 0 FT942-14230 1  18.595886 STANDARD
13 0 FT931-12351 1  18.549168 STANDARD
13 0 FT923-1707 1  18.52776 STANDARD
13 0 FT933-12294 1  18.521448 STANDARD
13 0 FT944-1455 1  18.520826 STANDARD
13 0 FT943-13087 1  18.489553 STANDARD
13 0 FT932-3076 1  18.475346 STANDARD
13 0 FT931-7352 1  18.472328 STANDARD
13 0 FT922-1300 1  18.469746 STANDARD
13 0 FT922-11043 1  18.461748 STANDARD
13 0 FT932-10929 1  18.451578 STANDARD
13 0 FT932-4650 1  18.439444 STANDARD
13 0 FT934-12469 1  18.438677 STANDARD
13 0 FT931-11718 1  18.400587 STANDARD
13 0 FT924-6539 1  18.384054 STANDARD
13 0 FT931-6581 1  18.383022 STANDARD
13 0 FT932-13990 1  18.35225 STANDARD
13 0 FT931-4228 1  18.344824 STANDARD
13 0 FT934-5576 1  18.342752 STANDARD
13 0 FT931-9858 1  18.283085 STANDARD
13 0 FT941-713 1  18.280998 STANDARD
13 0 FT934-9946 1  18.274172 STANDARD
13 0 FT942-8961 1  18.27329 STANDARD
13 0 FT933-11234 1  18.264389 STANDARD
13 0 FT944-10894 1  18.259617 STANDARD
13 0 FT944-12616 1  18.252695 STANDARD
13 0 FT944-1539 1  18.239904 STANDARD
13 0 FT941-15999 1  18.237616 STANDARD
13 0 FT924-2090 1  18.23644 STANDARD
13 0 FT933-3511 1  18.227345 STANDARD
13 0 FT922-13081 1  18.213573 STANDARD
13 0 FT932-1393 1  18.21157 STANDARD
13 0 FT932-14388 1  18.20457 STANDARD
13 0 FT924-4714 1  18.19369 STANDARD
13 0 FT942-3225 1  18.182302 STANDARD
13 0 FT934-13281 1  18.165812 STANDARD
13 0 FT944-17361 1  18.164793 STANDARD
13 0 FT943-16181 1  18.139704 STANDARD
13 0 FT944-1612 1  18.137556 STANDARD
13 0 FT923-2608 1  18.13353 STANDARD
13 0 FT933-2953 1  18.126602 STANDARD
13 0 FT923-15138 1  18.123127 STANDARD
13 0 FT923-7265 1  18.114077 STANDARD
13 0 FT944-2252 1  18.108135 STANDARD
13 0 FT944-2693 1  18.108135 STANDARD
13 0 FT941-9945 1  18.10115 STANDARD
13 0 FT943-11959 1  18.096495 STANDARD
13 0 FT923-12263 1  18.065643 STANDARD
13 0 FT943-1650 1  18.06 STANDARD
13 0 FT933-3306 1  18.043306 STANDARD
13 0 FT931-8251 1  18.04177 STANDARD
13 0 FT931-8416 1  18.04177 STANDARD
13 0 FT923-315 1  18.034815 STANDARD
13 0 FT921-13494 1  18.02649 STANDARD
13 0 FT942-10089 1  18.019188 STANDARD
13 0 FT943-2857 1  17.996777 STANDARD
13 0 FT933-10338 1  17.996418 STANDARD
13 0 FT942-3887 1  17.989397 STANDARD
13 0 FT931-3389 1  17.985119 STANDARD
13 0 FT922-2722 1  17.980587 STANDARD
13 0 FT941-1243 1  17.971634 STANDARD
13 0 FT942-10511 1  17.966421 STANDARD
13 0 FT934-9423 1  17.957266 STANDARD
13 0 FT933-7659 1  17.953726 STANDARD
13 0 FT944-11817 1  17.924162 STANDARD
13 0 FT933-7845 1  17.895998 STANDARD
13 0 FT931-8520 1  17.89041 STANDARD
13 0 FT931-8565 1  17.89041 STANDARD
13 0 FT942-8335 1  17.885296 STANDARD
13 0 FT933-16962 1  17.882002 STANDARD
13 0 FT932-15759 1  17.870926 STANDARD
13 0 FT931-8525 1  17.870369 STANDARD
13 0 FT931-8749 1  17.870369 STANDARD
13 0 FT943-10082 1  17.868412 STANDARD
13 0 FT944-18665 1  17.862156 STANDARD
13 0 FT932-4553 1  17.855139 STANDARD
13 0 FT934-5285 1  17.850456 STANDARD
13 0 FT923-11894 1  17.837646 STANDARD
13 0 FT924-10755 1  17.805714 STANDARD
13 0 FT943-5054 1  17.805616 STANDARD
13 0 FT943-9434 1  17.798687 STANDARD
13 0 FT931-11393 1  17.785784 STANDARD
13 0 FT931-2057 1  17.752743 STANDARD
13 0 FT922-1844 1  17.744638 STANDARD
13 0 FT923-6117 1  17.743143 STANDARD
13 0 FT922-15302 1  17.738974 STANDARD
13 0 FT942-12735 1  17.736618 STANDARD
13 0 FT931-10141 1  17.736238 STANDARD
13 0 FT911-3908 1  17.726032 STANDARD
13 0 FT942-15296 1  17.724651 STANDARD
13 0 FT942-2920 1  17.720707 STANDARD
13 0 FT934-7664 1  17.715588 STANDARD
13 0 FT931-15630 1  17.712921 STANDARD
13 0 FT944-2248 1  17.698647 STANDARD
13 0 FT944-2689 1  17.698647 STANDARD
13 0 FT943-3675 1  17.696638 STANDARD
13 0 FT944-18126 1  17.695082 STANDARD
13 0 FT932-6575 1  17.694017 STANDARD
13 0 FT922-903 1  17.688095 STANDARD
13 0 FT932-14134 1  17.677711 STANDARD
13 0 FT934-14086 1  17.666872 STANDARD
13 0 FT931-6537 1  17.658176 STANDARD
13 0 FT941-12024 1  17.65743 STANDARD
13 0 FT934-12413 1  17.640404 STANDARD
13 0 FT922-3861 1  17.636108 STANDARD
13 0 FT943-14510 1  17.634506 STANDARD
13 0 FT933-5326 1  17.63088 STANDARD
13 0 FT922-14407 1  17.624094 STANDARD
13 0 FT944-6863 1  17.60351 STANDARD
13 0 FT934-17212 1  17.588572 STANDARD
13 0 FT922-4415 1  17.578115 STANDARD
13 0 FT944-11812 1  17.570595 STANDARD
13 0 FT941-2443 1  17.55869 STANDARD
13 0 FT942-13630 1  17.52774 STANDARD
13 0 FT922-15423 1  17.521214 STANDARD
13 0 FT932-12070 1  17.518118 STANDARD
13 0 FT934-4388 1  17.51631 STANDARD
13 0 FT924-5455 1  17.513313 STANDARD
13 0 FT924-10010 1  17.508656 STANDARD
13 0 FT934-14199 1  17.508106 STANDARD
13 0 FT922-4419 1  17.494524 STANDARD
13 0 FT942-173 1  17.494 STANDARD
13 0 FT931-12696 1  17.492487 STANDARD
13 0 FT941-5257 1  17.483004 STANDARD
13 0 FT932-1720 1  17.48212 STANDARD
13 0 FT923-14620 1  17.47644 STANDARD
13 0 FT924-7157 1  17.466236 STANDARD
13 0 FT933-31 1  17.459797 STANDARD
13 0 FT942-14418 1  17.455856 STANDARD
13 0 FT942-13163 1  17.434038 STANDARD
13 0 FT932-4349 1  17.431702 STANDARD
13 0 FT924-10911 1  17.429565 STANDARD
13 0 FT924-5541 1  17.416363 STANDARD
13 0 FT931-15767 1  17.407257 STANDARD
13 0 FT944-3433 1  17.403063 STANDARD
13 0 FT934-2581 1  17.402065 STANDARD
13 0 FT941-1237 1  17.3845 STANDARD
13 0 FT944-17689 1  17.3788 STANDARD
13 0 FT931-14087 1  17.368519 STANDARD
13 0 FT942-13273 1  17.364672 STANDARD
13 0 FT944-14291 1  17.36435 STANDARD
13 0 FT943-8476 1  17.341047 STANDARD
13 0 FT941-2789 1  17.338692 STANDARD
13 0 FT924-15324 1  17.331318 STANDARD
13 0 FT934-11714 1  17.316893 STANDARD
13 0 FT943-11734 1  17.299704 STANDARD
13 0 FT932-1632 1  17.299494 STANDARD
13 0 FT931-7866 1  17.299341 STANDARD
13 0 FT942-3536 1  17.298943 STANDARD
13 0 FT931-14953 1  17.298412 STANDARD
13 0 FT924-4317 1  17.293337 STANDARD
13 0 FT944-2306 1  17.28855 STANDARD
13 0 FT944-2747 1  17.28855 STANDARD
13 0 FT921-8133 1  17.287691 STANDARD
13 0 FT931-16179 1  17.285631 STANDARD
13 0 FT931-8659 1  17.28268 STANDARD
13 0 FT931-3643 1  17.280031 STANDARD
13 0 FT921-3089 1  17.277914 STANDARD
13 0 FT931-13520 1  17.27063 STANDARD
13 0 FT931-13656 1  17.27063 STANDARD
13 0 FT942-6146 1  17.266708 STANDARD
13 0 FT921-3676 1  17.250452 STANDARD
13 0 FT943-4212 1  17.241959 STANDARD
13 0 FT921-11458 1  17.239546 STANDARD
13 0 FT943-1616 1  17.23406 STANDARD
13 0 FT944-9458 1  17.230434 STANDARD
13 0 FT923-6205 1  17.230125 STANDARD
13 0 FT931-7720 1  17.206238 STANDARD
13 0 FT933-1953 1  17.205118 STANDARD
13 0 FT922-4417 1  17.193943 STANDARD
13 0 FT941-2277 1  17.189293 STANDARD
13 0 FT944-1744 1  17.181036 STANDARD
13 0 FT944-18240 1  17.180965 STANDARD
13 0 FT921-14029 1  17.176712 STANDARD
13 0 FT941-15886 1  17.170946 STANDARD
13 0 FT944-420 1  17.16146 STANDARD
13 0 FT941-3180 1  17.159964 STANDARD
13 0 FT923-3145 1  17.134281 STANDARD
13 0 FT934-16630 1  17.127306 STANDARD
13 0 FT923-4950 1  17.094915 STANDARD
13 0 FT931-16488 1  17.087555 STANDARD
13 0 FT924-15927 1  17.076046 STANDARD
13 0 FT941-3060 1  17.072578 STANDARD
13 0 FT943-11960 1  17.055304 STANDARD
13 0 FT942-5030 1  17.034966 STANDARD
13 0 FT943-6034 1  17.033333 STANDARD
13 0 FT911-135 1  17.021254 STANDARD
13 0 FT931-3057 1  17.015673 STANDARD
13 0 FT931-1999 1  17.006268 STANDARD
13 0 FT922-1679 1  16.99083 STANDARD
13 0 FT932-15049 1  16.987211 STANDARD
13 0 FT922-9445 1  16.981592 STANDARD
13 0 FT922-2255 1  16.972223 STANDARD
13 0 FT941-15569 1  16.967514 STANDARD
13 0 FT941-13071 1  16.962465 STANDARD
13 0 FT921-12073 1  16.960976 STANDARD
13 0 FT944-3979 1  16.959251 STANDARD
13 0 FT943-3859 1  16.954119 STANDARD
13 0 FT924-6684 1  16.932758 STANDARD
13 0 FT943-7440 1  16.931623 STANDARD
13 0 FT921-10554 1  16.898285 STANDARD
13 0 FT933-3589 1  16.897015 STANDARD
13 0 FT944-4304 1  16.893185 STANDARD
13 0 FT942-8960 1  16.889736 STANDARD
13 0 FT931-7574 1  16.88809 STANDARD
13 0 FT924-1598 1  16.88572 STANDARD
13 0 FT924-10784 1  16.869265 STANDARD
13 0 FT932-13620 1  16.867064 STANDARD
13 0 FT932-11526 1  16.860332 STANDARD
13 0 FT931-15671 1  16.859087 STANDARD
13 0 FT932-15712 1  16.854368 STANDARD
13 0 FT931-6244 1  16.84541 STANDARD
13 0 FT942-11128 1  16.845034 STANDARD
13 0 FT932-8217 1  16.842422 STANDARD
13 0 FT911-5356 1  16.840792 STANDARD
13 0 FT923-4025 1  16.83361 STANDARD
13 0 FT932-8673 1  16.832317 STANDARD
13 0 FT932-4729 1  16.828192 STANDARD
13 0 FT941-2751 1  16.82673 STANDARD
13 0 FT933-3309 1  16.82169 STANDARD
13 0 FT934-13179 1  16.819527 STANDARD
13 0 FT924-13944 1  16.819319 STANDARD
13 0 FT942-16043 1  16.80894 STANDARD
13 0 FT942-12792 1  16.807243 STANDARD
13 0 FT921-15558 1  16.790358 STANDARD
13 0 FT922-8534 1  16.78307 STANDARD
13 0 FT922-13076 1  16.779053 STANDARD
13 0 FT943-15715 1  16.766912 STANDARD
13 0 FT924-794 1  16.765656 STANDARD
13 0 FT922-187 1  16.761902 STANDARD
13 0 FT932-3370 1  16.76121 STANDARD
13 0 FT911-4016 1  16.752127 STANDARD
13 0 FT921-4211 1  16.750237 STANDARD
13 0 FT923-15360 1  16.738667 STANDARD
13 0 FT934-1285 1  16.737959 STANDARD
13 0 FT923-10905 1  16.731157 STANDARD
13 0 FT931-5631 1  16.724937 STANDARD
13 0 FT943-14164 1  16.720112 STANDARD
13 0 FT943-10945 1  16.717735 STANDARD
13 0 FT943-9240 1  16.713713 STANDARD
13 0 FT941-11342 1  16.711529 STANDARD
13 0 FT934-2046 1  16.708208 STANDARD
13 0 FT934-9700 1  16.705898 STANDARD
13 0 FT932-14856 1  16.70322 STANDARD
13 0 FT943-8045 1  16.702358 STANDARD
13 0 FT924-15216 1  16.697725 STANDARD
13 0 FT924-2669 1  16.693623 STANDARD
13 0 FT931-5912 1  16.688538 STANDARD
13 0 FT941-13749 1  16.68663 STANDARD
13 0 FT944-10932 1  16.686188 STANDARD
13 0 FT923-5753 1  16.686007 STANDARD
13 0 FT944-15547 1  16.677391 STANDARD
13 0 FT943-12220 1  16.675835 STANDARD
13 0 FT932-9438 1  16.670115 STANDARD
13 0 FT941-5309 1  16.654846 STANDARD
13 0 FT942-7234 1  16.65299 STANDARD
13 0 FT932-15110 1  16.652788 STANDARD
13 0 FT924-13806 1  16.651114 STANDARD
13 0 FT931-9535 1  16.628689 STANDARD
13 0 FT932-4447 1  16.616238 STANDARD
13 0 FT922-14 1  16.615774 STANDARD
13 0 FT921-14463 1  16.609129 STANDARD
13 0 FT944-4547 1  16.59609 STANDARD
13 0 FT924-1963 1  16.58922 STANDARD
13 0 FT933-4605 1  16.588825 STANDARD
13 0 FT931-8019 1  16.586836 STANDARD
13 0 FT941-14412 1  16.578579 STANDARD
13 0 FT944-18270 1  16.573318 STANDARD
13 0 FT922-394 1  16.565138 STANDARD
13 0 FT923-1129 1  16.563887 STANDARD
13 0 FT934-10661 1  16.552273 STANDARD
13 0 FT942-6296 1  16.545221 STANDARD
13 0 FT921-11438 1  16.535002 STANDARD
13 0 FT933-14910 1  16.533947 STANDARD
13 0 FT934-9929 1  16.532246 STANDARD
13 0 FT941-4931 1  16.52999 STANDARD
13 0 FT943-13219 1  16.526814 STANDARD
13 0 FT911-3917 1  16.523586 STANDARD
13 0 FT941-9291 1  16.51506 STANDARD
13 0 FT944-16483 1  16.51353 STANDARD
13 0 FT923-10436 1  16.509531 STANDARD
13 0 FT931-935 1  16.505188 STANDARD
13 0 FT924-6889 1  16.50426 STANDARD
13 0 FT943-1822 1  16.50182 STANDARD
13 0 FT922-7872 1  16.501707 STANDARD
13 0 FT944-16559 1  16.497217 STANDARD
13 0 FT934-14577 1  16.493889 STANDARD
13 0 FT921-1282 1  16.49161 STANDARD
13 0 FT942-1396 1  16.489855 STANDARD
13 0 FT923-2423 1  16.478683 STANDARD
13 0 FT943-9065 1  16.477251 STANDARD
13 0 FT934-6123 1  16.469755 STANDARD
13 0 FT932-13376 1  16.45765 STANDARD
13 0 FT931-15229 1  16.451626 STANDARD
13 0 FT942-15251 1  16.450462 STANDARD
13 0 FT944-18395 1  16.449688 STANDARD
13 0 FT933-3337 1  16.447012 STANDARD
13 0 FT931-2212 1  16.446949 STANDARD
13 0 FT931-10022 1  16.445889 STANDARD
13 0 FT921-300 1  16.428692 STANDARD
13 0 FT934-5627 1  16.42572 STANDARD
13 0 FT924-13205 1  16.424557 STANDARD
13 0 FT942-8944 1  16.424376 STANDARD
13 0 FT911-1835 1  16.424303 STANDARD
13 0 FT933-5295 1  16.424194 STANDARD
13 0 FT941-16135 1  16.421715 STANDARD
13 0 FT924-15222 1  16.41316 STANDARD
13 0 FT924-10047 1  16.41248 STANDARD
13 0 FT923-3734 1  16.394394 STANDARD
13 0 FT921-1113 1  16.394217 STANDARD
13 0 FT943-3463 1  16.393902 STANDARD
13 0 FT934-14859 1  16.393276 STANDARD
13 0 FT933-69 1  16.391075 STANDARD
13 0 FT923-11592 1  16.388248 STANDARD
13 0 FT932-12347 1  16.382648 STANDARD
13 0 FT942-33 1  16.381735 STANDARD
13 0 FT934-13423 1  16.370165 STANDARD
13 0 FT942-9108 1  16.368816 STANDARD
13 0 FT923-11297 1  16.364925 STANDARD
13 0 FT932-8409 1  16.35872 STANDARD
13 0 FT943-3805 1  16.354988 STANDARD
13 0 FT921-13181 1  16.354977 STANDARD
13 0 FT932-7682 1  16.352896 STANDARD
13 0 FT934-12344 1  16.345064 STANDARD
13 0 FT933-2960 1  16.344322 STANDARD
13 0 FT922-10346 1  16.343733 STANDARD
13 0 FT933-4082 1  16.343674 STANDARD
13 0 FT942-1369 1  16.343132 STANDARD
13 0 FT942-13762 1  16.341713 STANDARD
13 0 FT923-8034 1  16.33504 STANDARD
13 0 FT944-5782 1  16.331932 STANDARD
13 0 FT942-9137 1  16.328112 STANDARD
13 0 FT941-12929 1  16.32809 STANDARD
13 0 FT922-11057 1  16.32793 STANDARD
13 0 FT922-8117 1  16.32522 STANDARD
13 0 FT923-4734 1  16.31886 STANDARD
13 0 FT943-8477 1  16.31807 STANDARD
13 0 FT931-8845 1  16.316813 STANDARD
13 0 FT941-11238 1  16.316462 STANDARD
13 0 FT932-15490 1  16.316309 STANDARD
13 0 FT934-16624 1  16.314112 STANDARD
13 0 FT932-2344 1  16.312862 STANDARD
13 0 FT924-15218 1  16.305328 STANDARD
13 0 FT931-6282 1  16.30441 STANDARD
13 0 FT931-6483 1  16.30441 STANDARD
13 0 FT944-13956 1  16.304087 STANDARD
13 0 FT922-3980 1  16.30275 STANDARD
13 0 FT932-14172 1  16.295485 STANDARD
13 0 FT922-152 1  16.292995 STANDARD
13 0 FT922-14654 1  16.287666 STANDARD
13 0 FT944-15755 1  16.280394 STANDARD
13 0 FT941-10067 1  16.271662 STANDARD
13 0 FT921-15087 1  16.269913 STANDARD
13 0 FT942-6599 1  16.269777 STANDARD
13 0 FT933-5492 1  16.266987 STANDARD
13 0 FT942-15098 1  16.262058 STANDARD
13 0 FT944-11098 1  16.257715 STANDARD
13 0 FT921-13103 1  16.25546 STANDARD
13 0 FT923-4050 1  16.255219 STANDARD
13 0 FT924-14764 1  16.254 STANDARD
13 0 FT932-9324 1  16.252026 STANDARD
13 0 FT933-5620 1  16.250912 STANDARD
13 0 FT933-15370 1  16.24139 STANDARD
13 0 FT911-3727 1  16.234268 STANDARD
13 0 FT922-13114 1  16.232412 STANDARD
13 0 FT932-17195 1  16.224934 STANDARD
13 0 FT932-6934 1  16.222866 STANDARD
13 0 FT943-339 1  16.2221 STANDARD
13 0 FT943-9093 1  16.210943 STANDARD
13 0 FT911-3793 1  16.207771 STANDARD
13 0 FT933-11548 1  16.205893 STANDARD
13 0 FT922-7374 1  16.194859 STANDARD
13 0 FT921-14665 1  16.190208 STANDARD
13 0 FT942-597 1  16.187902 STANDARD
13 0 FT944-2264 1  16.186344 STANDARD
13 0 FT944-2705 1  16.186344 STANDARD
13 0 FT924-9875 1  16.184464 STANDARD
13 0 FT931-11704 1  16.182878 STANDARD
13 0 FT933-6809 1  16.171291 STANDARD
13 0 FT923-7430 1  16.159115 STANDARD
13 0 FT924-14200 1  16.158056 STANDARD
13 0 FT924-177 1  16.157053 STANDARD
13 0 FT923-2212 1  16.150133 STANDARD
13 0 FT944-15027 1  16.147015 STANDARD
13 0 FT944-5060 1  16.141708 STANDARD
13 0 FT943-12099 1  16.138374 STANDARD
13 0 FT933-14561 1  16.137268 STANDARD
13 0 FT923-10260 1  16.135489 STANDARD
13 0 FT932-9836 1  16.131447 STANDARD
13 0 FT922-12130 1  16.130219 STANDARD
13 0 FT933-7644 1  16.12976 STANDARD
13 0 FT911-3961 1  16.129686 STANDARD
13 0 FT933-9056 1  16.119175 STANDARD
13 0 FT931-10584 1  16.115314 STANDARD
13 0 FT921-12247 1  16.111702 STANDARD
13 0 FT922-8320 1  16.110012 STANDARD
13 0 FT944-29 1  16.108883 STANDARD
13 0 FT933-8010 1  16.107761 STANDARD
13 0 FT924-11301 1  16.107145 STANDARD
13 0 FT944-14442 1  16.10578 STANDARD
13 0 FT932-2360 1  16.103178 STANDARD
13 0 FT944-15387 1  16.09861 STANDARD
13 0 FT943-2799 1  16.096289 STANDARD
13 0 FT943-15080 1  16.085258 STANDARD
13 0 FT934-155 1  16.084503 STANDARD
13 0 FT933-5164 1  16.08248 STANDARD
13 0 FT941-11316 1  16.080801 STANDARD
13 0 FT923-10101 1  16.080534 STANDARD
13 0 FT942-8658 1  16.08039 STANDARD
13 0 FT932-7123 1  16.077448 STANDARD
13 0 FT933-1949 1  16.077034 STANDARD
13 0 FT921-15785 1  16.071589 STANDARD
13 0 FT941-4990 1  16.06513 STANDARD
13 0 FT921-8663 1  16.05661 STANDARD
13 0 FT922-5877 1  16.05385 STANDARD
13 0 FT943-1749 1  16.04741 STANDARD
13 0 FT944-3733 1  16.04588 STANDARD
13 0 FT924-2792 1  16.041714 STANDARD
13 0 FT932-10258 1  16.041636 STANDARD
13 0 FT932-16232 1  16.040533 STANDARD
13 0 FT924-3419 1  16.040525 STANDARD
13 0 FT922-8067 1  16.039335 STANDARD
13 0 FT942-3832 1  16.039152 STANDARD
13 0 FT941-4256 1  16.036304 STANDARD
13 0 FT911-140 1  16.036098 STANDARD
13 0 FT924-8557 1  16.033743 STANDARD
13 0 FT932-10136 1  16.03292 STANDARD
13 0 FT922-543 1  16.031654 STANDARD
13 0 FT933-7236 1  16.030655 STANDARD
13 0 FT924-9544 1  16.02428 STANDARD
13 0 FT941-5711 1  16.021488 STANDARD
13 0 FT923-4492 1  16.020674 STANDARD
13 0 FT934-9016 1  16.01791 STANDARD
13 0 FT934-5259 1  16.01773 STANDARD
13 0 FT921-4196 1  16.016357 STANDARD
13 0 FT924-12548 1  16.009348 STANDARD
13 0 FT924-8816 1  16.006678 STANDARD
13 0 FT933-11131 1  16.002304 STANDARD
13 0 FT923-4195 1  15.999287 STANDARD
13 0 FT942-9422 1  15.99012 STANDARD
13 0 FT941-11763 1  15.986141 STANDARD
13 0 FT932-16442 1  15.985827 STANDARD
13 0 FT933-5149 1  15.982281 STANDARD
13 0 FT934-12946 1  15.981062 STANDARD
13 0 FT931-3487 1  15.980117 STANDARD
13 0 FT932-1584 1  15.978284 STANDARD
13 0 FT924-15515 1  15.974128 STANDARD
13 0 FT933-2312 1  15.973255 STANDARD
13 0 FT923-5761 1  15.9700365 STANDARD
13 0 FT944-18238 1  15.969404 STANDARD
13 0 FT941-17373 1  15.966047 STANDARD
13 0 FT923-14594 1  15.962547 STANDARD
13 0 FT934-691 1  15.956916 STANDARD
13 0 FT942-16023 1  15.952924 STANDARD
